8-deg cone,,Hemisphere cone,,9-deg cone,
X,Y,X,Y,X,Y
0.410934359,-0.838509317,0.596278433,-0.866459627,1.491601099,-0.124223602
0.604556821,-0.776397516,0.703566883,-0.788819876,1.885597969,-0.080745342
0.901757619,-0.534161491,0.791049377,-0.720496894,2.287080427,-0.093167702
0.956178385,-0.465838509,0.892480637,-0.596273292,2.951616166,-0.105590062
1.064010975,-0.304347826,1,-0.459627329,3.970108677,-0.118012422
1.171823695,-0.192546584,1.0937603,-0.285714286,4.652267419,-0.136645963
1.533305673,-0.068322981,1.192195026,-0.201863354,,
2.006296935,-0.034161491,1.382670073,-0.068322981,,
2.501517773,-0.037267081,1.735885031,-0.01863354,,
3.506793393,-0.055900621,1.89210881,-0.00310559,,
4.494636878,-0.062111801,2.076659387,-0.01242236,,
,,2.351026287,-0.02484472,,
,,2.992594712,-0.046583851,,
,,3.997573037,-0.046583851,,
,,4.984307072,-0.043478261,,
